epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0819,1.86413,8.1368,1.20108,0.38532,0.46824,0.2169,0.11405,1.39049,52.0715,1.03981,0.00026664,0.00026664,0.00026664
2,37.7588,1.48837,1.99406,1.07883,0.40917,0.53584,0.27118,0.13841,1.47524,inf,1.09099,0.000490495,0.000490495,0.000490495
3,55.7057,1.45636,1.31971,1.05913,0.00769,0.18582,0.00364,0.00221,1.68538,inf,1.30909,0.000659356,0.000659356,0.000659356
4,72.9153,1.36115,1.09051,1.02858,0.44981,0.35261,0.26609,0.12323,2.09243,2.12542,1.32742,0.000773223,0.000773223,0.000773223
5,89.8685,1.40736,1.1003,1.03348,0.67331,0.65629,0.64263,0.30674,1.58707,1.08887,1.13938,0.000671044,0.000671044,0.000671044
6,106.899,1.39224,0.99232,1.04909,0.74865,0.64336,0.69391,0.35018,1.57509,0.89586,1.11861,0.000561055,0.000561055,0.000561055
7,123.871,1.36135,0.92119,1.0333,0.86729,0.68005,0.75364,0.40259,1.39084,0.80473,1.05261,0.000451066,0.000451066,0.000451066
8,141.344,1.3823,0.95669,1.10831,0.85238,0.7591,0.79784,0.44169,1.34712,0.70029,1.02579,0.000341077,0.000341077,0.000341077
9,158.801,1.25242,0.77903,0.94703,0.78395,0.76676,0.79662,0.46836,1.25971,0.63652,0.99318,0.000231088,0.000231088,0.000231088
10,176.082,1.13266,0.68015,0.95328,0.83811,0.73214,0.79365,0.44147,1.32456,0.66017,1.01021,0.000121099,0.000121099,0.000121099
